,year,round,upset_count
0,2024,1,11
1,2024,2,2
2,2024,3,5
3,2024,4,1
4,2024,5,0
5,2024,6,0
6,2023,1,7
7,2023,2,5
8,2023,3,4
9,2023,4,3
10,2023,5,0
11,2023,6,0
12,2022,1,10
13,2022,2,6
14,2022,3,4
15,2022,4,0
16,2022,5,1
17,2022,6,0
18,2019,1,12
19,2019,2,1
20,2019,3,3
21,2019,4,3
22,2019,5,1
23,2019,6,0
24,2018,1,9
25,2018,2,6
26,2018,3,4
27,2018,4,1
28,2018,5,0
29,2018,6,0
30,2017,1,6
31,2017,2,4
32,2017,3,2
33,2017,4,2
34,2017,5,0
35,2017,6,0
36,2016,1,13
37,2016,2,3
38,2016,3,0
39,2016,4,3
40,2016,5,0
41,2016,6,1
42,2015,1,5
43,2015,2,5
44,2015,3,1
45,2015,4,1
46,2015,5,0
47,2015,6,0
48,2014,1,8
49,2014,2,5
50,2014,3,4
51,2014,4,3
52,2014,5,2
53,2014,6,0
54,2013,1,10
55,2013,2,4
56,2013,3,3
57,2013,4,3
58,2013,5,0
59,2013,6,0
60,2012,1,10
61,2012,2,3
62,2012,3,2
63,2012,4,2
64,2012,5,0
65,2012,6,0
66,2011,1,7
67,2011,2,5
68,2011,3,5
69,2011,4,3
70,2011,5,0
71,2011,6,0
72,2010,1,10
73,2010,2,6
74,2010,3,2
75,2010,4,2
76,2010,5,0
77,2010,6,0
78,2009,1,10
79,2009,2,1
80,2009,3,2
81,2009,4,2
82,2009,5,1
83,2009,6,0
84,2008,1,8
85,2008,2,3
86,2008,3,2
87,2008,4,0
88,2008,5,0
89,2008,6,0
